Yt.3M,Yt.2M,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
-0.096,-0.0586,-0.0651,3032 偉訓,M2328 電子零組件,-0.1136,0.0898,10,-0.2971,0.3363,7,-0.2932,0.3352,7,1.0187,0.0898,10,"8,127,733,880",0.5586,5,2.84,0.2256,8,4.0072,0.7798,3,4.2,0.8083,2,2.26,0.793,3,0.2581,0.7908,3,47,0.4425,6,0.6436,0.6232,4,0.0585,0.6035,4
-0.031,0.091,0.0686,3033 威健,M2329 電子通路業,0.1016,0.6035,4,1.4406,0.839,2,1.2175,0.8401,2,0.4207,0.5422,5,"15,901,569,773",0.3834,7,1.47,0.6046,4,0.8621,0.989,1,1.88,0.5071,5,0.96,0.4907,6,0.0609,0.2191,8,76.74,0.0679,10,-0.0061,0.333,7,0.2665,0.9365,1
-0.0487,0.0162,0.0496,3034 聯詠,M2324 半導體,0.1443,0.6999,4,-0.2634,0.3582,7,-0.283,0.3439,7,1.06,0.0756,10,"333,661,807,835",0.0318,10,5.1,0.0712,10,13.6591,0.2968,8,7.03,0.9606,1,4.62,0.9759,1,0.5327,0.9869,1,33,0.7065,3,0.0298,0.368,7,-0.0085,0.2979,8
0.0707,0.2431,0.1447,3035 智原,M2324 半導體,-0.397,0.0033,10,-0.4468,0.2114,8,-0.3205,0.3067,7,0.7637,0.2004,9,"70,027,690,745",0.1336,9,6.59,0.0307,10,27.1569,0.1194,9,2.34,0.598,5,1.78,0.7196,3,0.548,0.989,1,23.16,0.8412,2,-0.4417,0.161,9,0.3028,0.9485,1
-0.131,-0.0556,-0.0913,3036 文曄,M2329 電子通路業,-0.2783,0.011,10,0.1062,0.5717,5,0.1657,0.6134,4,1.1737,0.0493,10,"153,556,916,492",0.0701,10,1.78,0.4863,6,0.7971,0.9923,1,2.04,0.5422,5,0.82,0.4469,6,0.1862,0.6298,4,70.74,0.1084,9,1.1984,0.7415,3,0.565,0.988,1
-0.1412,0.0448,-0.0188,3037 欣興,M2328 電子零組件,0.0111,0.3483,7,-0.3916,0.2683,8,-0.3851,0.2497,8,1.4041,0.0197,10,"274,386,207,189",0.0394,10,3.08,0.1972,9,10.3923,0.3943,7,2.7,0.6473,4,1.27,0.5816,5,0.2454,0.7689,3,54.9,0.3023,8,-0.4057,0.172,9,0.0026,0.3593,7
-0.1368,-0.0309,-0.0139,3038 全台,M2326 光電業,-0.0546,0.1742,9,-0.7425,0.0471,10,-0.7185,0.0471,10,0.276,0.7174,3,"4,545,270,463",0.7415,3,2.07,0.4064,6,4.7863,0.7196,3,4.55,0.8456,2,2.85,0.8839,2,0.2979,0.8631,2,40.08,0.5794,5,0.3087,0.5038,5,0.0061,0.3779,7
0.2234,0.0524,0.2541,3040 遠見,M9900 其他,-0.0255,0.2464,8,1.8154,0.8565,2,1.8639,0.8817,2,0.1111,0.8992,2,"1,870,432,200",0.9277,1,1.26,0.6944,4,58.3307,0.0526,10,0.68,0.3143,7,0.63,0.3855,7,0.0908,0.3231,7,8.05,0.9814,1,0.3863,0.5257,5,-0.002,0.3373,7
-0.0649,0.0769,0.0553,3041 揚智,M2324 半導體,-0.2008,0.0241,10,-0.9002,0.0022,10,-0.8671,0.0033,10,0.755,0.2092,8,"4,038,221,306",0.7788,3,3.11,0.1928,9,10.2413,0.3998,7,-8.76,0.012,10,-4.95,0.0099,10,0.2499,0.7798,3,44.69,0.4907,6,-0.0895,0.2837,8,-0.2974,0.0055,10
0.0359,0.0685,0.0628,3042 晶技,M2328 電子零組件,0.1455,0.7032,3,-0.6259,0.1117,9,-0.6205,0.0942,10,0.83,0.1566,9,"36,588,878,079",0.2037,9,2.75,0.241,8,13.2878,0.3067,7,4.37,0.8248,2,2.84,0.8806,2,0.2137,0.6966,4,35.73,0.6594,4,0.8732,0.678,4,0.0278,0.471,6
