Yt.3M,Yt.2M,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
-0.0751,0.0925,0.0983,1802 台玻,M1800 玻璃陶瓷,-0.0525,0.1763,9,-0.0771,0.4765,6,-0.0438,0.5126,5,0.5246,0.4173,6,"49,873,242,720",0.1654,9,1.02,0.8335,2,5.0553,0.6999,4,-0.57,0.1446,9,-0.19,0.1435,9,0.0685,0.2432,8,43.65,0.5082,5,0.6944,0.6331,4,0.0114,0.3987,7
0.1436,-0.0371,-0.0247,1805 寶徠,M2500 建材營造,0.2368,0.8171,2,1.0651,0.8061,2,0.8599,0.8018,3,0.5152,0.4283,6,"2,546,690,030",0.8751,2,2.34,0.3133,7,1598.6755,0.0099,10,2.59,0.632,4,1.49,0.6506,4,0.0868,0.31,7,49.93,0.3866,7,1.6628,0.8094,2,0.108,0.7809,3
0.1528,0.088,-0.0093,1806 冠軍,M1800 玻璃陶瓷,0.0047,0.3286,7,-0.7233,0.0591,10,-0.6744,0.0657,10,0.5583,0.3724,7,"4,157,801,216",0.7645,3,0.74,0.954,1,4.8655,0.713,3,0.19,0.23,8,0.2,0.2399,8,0.2328,0.7404,3,32.33,0.7174,3,1.3148,0.7612,3,-0.0024,0.3352,7
0.1517,0.1137,0.109,1808 潤隆,M2500 建材營造,0.0747,0.5323,5,0.1105,0.5772,5,0.187,0.6243,4,0.7107,0.2442,8,"46,164,879,088",0.1752,9,4.48,0.1019,10,34.2439,0.0887,10,2.6,0.6331,4,0.8,0.4392,6,0.1133,0.3877,7,73.42,0.0887,10,-0.6049,0.1325,9,-0.0615,0.1391,9
-0.1037,0.1496,0.0726,1809 中釉,M1800 玻璃陶瓷,0.2861,0.8532,2,-0.6337,0.1084,9,-0.6147,0.0997,10,0.7143,0.2432,8,"3,835,199,353",0.7875,3,1.53,0.5794,5,6.488,0.5915,5,0.42,0.2651,8,0.39,0.3111,7,0.1312,0.4359,6,26.3,0.8007,3,2.417,0.8697,2,-0.0196,0.2673,8
-0.0396,-0.0317,-0.0079,1810 和成,M1800 玻璃陶瓷,0.1128,0.6243,4,4.3132,0.9409,1,3.4708,0.9441,1,-0.2337,0.989,1,"5,605,224,867",0.6813,4,0.78,0.9343,1,4.9487,0.7043,3,-0.25,0.1752,9,-0.1,0.1577,9,0.1014,0.3527,7,35.47,0.6637,4,-0.4,0.1731,9,0.0593,0.609,4
0.074,0.0594,0.0089,1817 凱撒衛,M1800 玻璃陶瓷,0.0722,0.5268,5,3.3435,0.92,1,3.2941,0.9409,1,0.2513,0.7415,3,"2,727,444,060",0.8598,2,1.29,0.6835,4,4.7381,0.7262,3,3.21,0.7087,3,2.51,0.828,2,0.1366,0.4578,6,21.16,0.8762,2,1.0339,0.713,3,0.0397,0.5235,5
-0.1295,-0.053,-0.0172,1903 士紙,M1900 造紙工業,0.1989,0.7798,3,7.7623,0.9693,1,6.4428,0.9737,1,0.6989,0.2464,8,"16,460,475,030",0.3724,7,3.76,0.1336,9,395.6179,0.0153,10,-0.33,0.1709,9,-0.06,0.1599,9,0.026,0.0876,10,53.76,0.322,7,0.6334,0.6188,4,-0.0554,0.149,9
-0.0843,-0.0123,-0.0069,1904 正隆,M1900 造紙工業,0.0017,0.3165,7,0.1892,0.6079,4,0.1906,0.6276,4,0.1529,0.8565,2,"31,424,348,279",0.2344,8,1.12,0.7788,3,3.1115,0.8587,2,1.05,0.3735,7,0.71,0.4096,6,0.0842,0.299,8,58.02,0.2377,8,-0.1931,0.2355,8,0.0307,0.4907,6
-0.163,-0.0463,-0.0352,1905 華紙,M1900 造紙工業,0.0112,0.3494,7,0.3678,0.6692,4,0.3726,0.6988,4,0.5415,0.3899,7,"24,924,078,142",0.2848,8,1.63,0.5455,5,4.718,0.7295,3,0.35,0.2563,8,0.32,0.2881,8,0.0343,0.1249,9,50.2,0.3746,7,1.2747,0.7503,3,0.0219,0.4469,6
-0.0903,-0.0449,-0.0509,1906 寶隆,M1900 造紙工業,0.082,0.5531,5,0.3639,0.667,4,0.3308,0.6835,4,0.1806,0.828,2,"2,468,140,300",0.8839,2,0.54,0.9923,1,2.6375,0.9014,2,1.02,0.3669,7,0.76,0.4228,6,0.0114,0.0307,10,35.75,0.6583,4,2.05,0.8456,2,-0.0711,0.1161,9
-0.0075,0.0312,-0.0245,1907 永豐餘,M1900 造紙工業,0.0321,0.4272,6,0.1525,0.5936,5,0.141,0.6035,4,0.1879,0.8171,2,"49,189,833,837",0.1676,9,0.81,0.9244,1,2.7446,0.8883,2,0.62,0.3034,8,0.46,0.3363,7,0.0568,0.1982,9,48.09,0.4151,6,92.0093,0.9989,1,0.0681,0.6539,4
-0.1213,-0.082,-0.0852,1909 榮成,M1900 造紙工業,0.0857,0.5619,5,0.6348,0.7306,3,0.5364,0.7295,3,0.3738,0.5893,5,"20,180,823,050",0.3187,7,0.88,0.8959,2,1.8682,0.943,1,0.02,0.2037,9,0.47,0.3395,7,0.03,0.1073,9,69.25,0.1216,9,1.0101,0.7043,3,-0.0425,0.1862,9
-0.0943,-0.064,-0.07,2002 中鋼,M2000 鋼鐵工業,0.0061,0.333,7,0.4449,0.6911,4,0.3997,0.7043,3,0.402,0.5597,5,"384,482,637,781",0.0241,10,1.22,0.7251,3,4.101,0.7667,3,0.33,0.2475,8,0.27,0.2651,8,0.0276,0.0964,10,49.9,0.3877,7,1.8836,0.8291,2,0.0217,0.4447,6
0.1056,0.02,-0.02,2006 東和鋼鐵,M2000 鋼鐵工業,0.0307,0.4228,6,-0.1708,0.4206,6,-0.1419,0.4381,6,0.2409,0.7568,3,"48,514,967,940",0.1687,9,1.73,0.5104,5,3.2659,0.8456,2,3.66,0.7722,3,2.09,0.7634,3,0.039,0.1413,9,48.3,0.4118,6,-0.0325,0.3133,7,0.0267,0.4622,6
-0.0905,0.0086,0.0043,2007 燁興,M2000 鋼鐵工業,0.0802,0.5455,5,2.06,0.8697,2,1.7623,0.8751,2,0.577,0.3494,7,"6,075,960,969",0.655,4,0.96,0.8664,2,4.2698,0.7558,3,-3.94,0.035,10,-1.51,0.0449,10,0.0333,0.1205,9,55.62,0.2837,8,-0.5509,0.1413,9,0.0608,0.6177,4
0.2817,0.0716,-0.0061,2008 高興昌,M2000 鋼鐵工業,0.1382,0.6944,4,7.9286,0.9715,1,6.5544,0.977,1,0.0586,0.931,1,"4,532,398,425",0.7437,3,1.28,0.6878,4,12.8374,0.3198,7,-0.01,0.1972,9,0.23,0.2508,8,0.0422,0.1533,9,54.38,0.3133,7,-1.006,0.0854,10,0.0164,0.4261,6
-0.1536,0.0051,0.0315,2009 第一銅,M2000 鋼鐵工業,0.5433,0.9584,1,4.5087,0.9441,1,3.0237,0.9343,1,0.8314,0.1555,9,"17,315,807,245",0.3571,7,1.74,0.4984,6,26.5902,0.1249,9,0.01,0.1993,9,0.07,0.184,9,0.0057,0.012,10,20.89,0.8784,2,-0.7946,0.1161,9,0.456,0.9781,1
-0.0714,-0.0564,-0.0453,2010 春源,M2000 鋼鐵工業,0.2139,0.7963,3,2.3294,0.8817,2,1.8338,0.8795,2,0.3915,0.5674,5,"12,934,066,732",0.4261,6,1.08,0.7974,3,2.474,0.908,1,1.73,0.4819,6,1.06,0.5214,5,0.0272,0.0931,10,45.24,0.4786,6,-0.0279,0.3143,7,0.0799,0.6911,4
0.071,0.0419,-0.026,2012 春雨,M2000 鋼鐵工業,0.0428,0.4524,6,0.831,0.7766,3,0.768,0.7886,3,0.2758,0.7185,3,"7,090,368,621",0.6101,4,1.69,0.5235,5,3.5131,0.8237,2,1.8,0.494,6,0.92,0.4786,6,0.1453,0.4874,6,59.8,0.207,8,0.0449,0.379,7,-0.0263,0.2388,8
-0.0711,-0.038,-0.0236,2013 中鋼構,M2000 鋼鐵工業,0.1257,0.6561,4,0.7457,0.759,3,0.6234,0.7547,3,0.8542,0.1446,9,"11,439,360,000",0.4622,6,2.34,0.3165,7,2.4629,0.9113,1,2.18,0.5663,5,0.9,0.4732,6,0.0034,0.0066,10,64.51,0.1555,9,0.2212,0.4688,6,0.1671,0.8675,2
-0.1668,-0.0416,-0.046,2014 中鴻,M2000 鋼鐵工業,-0.0257,0.2453,8,1.6685,0.851,2,1.5742,0.8609,2,0.6418,0.2903,8,"32,505,607,109",0.2289,8,2,0.4195,6,3.5532,0.8215,2,0.37,0.2574,8,0.3,0.2837,8,0.0497,0.1763,9,52.54,0.345,7,-0.8482,0.1106,9,-0.0232,0.2552,8
0.1643,0.1331,0.0326,2015 豐興,M2000 鋼鐵工業,0.0733,0.5312,5,0.5986,0.7218,3,0.5974,0.7448,3,0.1115,0.8981,2,"39,064,928,271",0.1939,9,2.02,0.4184,6,4.5975,0.7382,3,2.83,0.667,4,2.25,0.7897,3,0.027,0.092,10,24.54,0.8215,2,0.0174,0.3527,7,0.0269,0.4655,6
-0.1753,-0.0552,-0.0325,2017 官田鋼,M2000 鋼鐵工業,-0.0032,0.3023,8,1.1518,0.8182,2,1.0693,0.8291,2,0.5259,0.4151,6,"6,859,526,507",0.6156,4,1.07,0.8028,2,9.4367,0.4326,6,4.87,0.8653,2,3.09,0.9036,1,0.0286,0.0997,10,39.91,0.5827,5,6.9196,0.954,1,0.1003,0.7612,3
-0.1541,-0.1062,-0.0974,2020 美亞,M2000 鋼鐵工業,0.2656,0.8379,2,0.0432,0.5455,5,-0.0333,0.5203,5,0.473,0.4765,6,"8,812,273,888",0.5356,5,2.08,0.402,7,6.1996,0.6046,4,9.4,0.9836,1,5,0.9901,1,0.0796,0.2848,8,50.04,0.3812,7,1.2901,0.7536,3,0.0908,0.7273,3
-0.1709,-0.1093,-0.0927,2022 聚亨,M2000 鋼鐵工業,0.1086,0.6166,4,0.3766,0.6736,4,0.2323,0.6451,4,0.5623,0.3647,7,"4,057,515,090",0.7766,3,1.06,0.8127,2,2.0241,0.9387,1,0.75,0.3253,7,0.73,0.4184,6,0.1315,0.4392,6,25.83,0.8116,2,-0.2825,0.2092,8,-0.0065,0.3122,7
-0.0381,-0.0222,-0.0348,2023 燁輝,M2000 鋼鐵工業,0.0162,0.3691,7,0.3154,0.6462,4,0.2861,0.6692,4,0.5766,0.3505,7,"29,759,725,794",0.2563,8,0.98,0.8587,2,1.523,0.9628,1,-0.18,0.184,9,0.35,0.2968,8,0.0851,0.3023,8,66.84,0.1402,9,1.574,0.7963,3,-0.0179,0.2716,8
0.0607,0.0157,0.0225,2024 志聯,M2000 鋼鐵工業,0.0584,0.4984,6,-0.6882,0.0723,10,-0.6925,0.0591,10,0.4341,0.5246,5,"2,120,625,000",0.9113,1,1.91,0.4469,6,8.6891,0.4677,6,0.07,0.2147,8,0.2,0.2366,8,0.0652,0.2366,8,38.43,0.6112,4,1.058,0.7174,3,-0.1588,0.0285,10
0.0837,0.0485,0.1762,2025 千興,M2000 鋼鐵工業,0.2349,0.8149,2,-0.4262,0.2256,8,-0.462,0.195,9,1.3434,0.0219,10,"3,161,535,277",0.8291,2,1.79,0.4808,6,10.7208,0.3812,7,-4.45,0.0296,10,-4.2,0.012,10,0.0793,0.2815,8,5.27,0.989,1,-3.8107,0.0274,10,0.1671,0.8664,2
-0.0438,0.0107,-0.0121,2027 大成鋼,M2000 鋼鐵工業,0.0235,0.391,7,0.2426,0.6221,4,0.2144,0.6353,4,0.1223,0.8894,2,"87,356,119,856",0.1128,9,1.33,0.667,4,3.7677,0.7952,3,1.89,0.5104,5,1.2,0.5509,5,0.0719,0.2585,8,42.93,0.5214,5,-0.4532,0.1599,9,-0.0603,0.1402,9
-0.1622,-0.0806,-0.0842,2028 威致,M2000 鋼鐵工業,0.1538,0.7163,3,3.1294,0.9124,1,2.7827,0.9244,1,0.5668,0.356,7,"9,045,523,425",0.5301,5,1.84,0.4721,6,3.1473,0.8565,2,3.26,0.7141,3,1.79,0.7207,3,0.0101,0.0263,10,47.45,0.437,6,-0.1674,0.2497,8,0.1417,0.8357,2
-0.0622,-0.0141,-0.023,2029 盛餘,M2000 鋼鐵工業,0.0107,0.3461,7,0.2842,0.6353,4,0.2473,0.6517,4,0.4282,0.5312,5,"8,682,169,878",0.54,5,0.95,0.8708,2,2.6288,0.9025,1,1.59,0.4633,6,1.43,0.6265,4,0.3774,0.9332,1,11.95,0.9551,1,-0.0218,0.322,7,0.0275,0.4688,6
-0.0209,-0.0513,-0.0349,2030 彰源,M2000 鋼鐵工業,0,0.3133,7,0.288,0.6364,4,0.2732,0.6627,4,0.2185,0.7842,3,"5,057,575,688",0.7097,3,1.03,0.828,2,1.7605,0.9507,1,-0.66,0.1391,9,-0.02,0.1665,9,0.0982,0.3505,7,59.17,0.2191,8,-1.2144,0.0734,10,-0.0153,0.2793,8
-0.0001,0.0288,0.0355,2031 新光鋼,M2000 鋼鐵工業,0.0478,0.4655,6,-0.4414,0.2158,8,-0.4185,0.2191,8,0.5287,0.4107,6,"18,795,539,212",0.3341,7,1.66,0.5345,5,5.4226,0.6725,4,6.18,0.9332,1,2.87,0.885,2,0.0439,0.1621,9,57.06,0.2574,8,0.6767,0.6298,4,0.1591,0.8565,2
-0.1493,-0.0986,-0.031,2032 新鋼,M2000 鋼鐵工業,0.0476,0.4644,6,4.1237,0.9354,1,3.6985,0.9496,1,0.4357,0.5214,5,"2,297,179,192",0.8992,2,1.22,0.7273,3,3.4446,0.8291,2,1,0.3636,7,0.88,0.4655,6,0.1157,0.3943,7,13.11,0.9463,1,3.1753,0.8981,2,-0.0402,0.1961,9
0.0463,-0.0247,-0.034,2033 佳大,M2000 鋼鐵工業,-0.0123,0.2793,8,1.3926,0.8335,2,1.264,0.8434,2,0.7683,0.1961,9,"1,299,182,030",0.9682,1,1.25,0.7032,3,9.5717,0.4261,6,0.33,0.2486,8,0.32,0.2892,8,0.0717,0.2574,8,17.15,0.9157,1,1.5542,0.7941,3,0.003,0.3614,7
-0.0579,-0.0194,-0.0175,2034 允強,M2000 鋼鐵工業,-0.0154,0.2694,8,-0.1006,0.4622,6,-0.1063,0.4633,6,0.2407,0.7579,3,"12,522,092,142",0.437,6,1.24,0.7141,3,4.0407,0.7744,3,0.52,0.2837,8,0.43,0.3231,7,0.0317,0.1139,9,50.95,0.368,7,-0.4819,0.1555,9,-0.0756,0.1084,9
-0.1555,-0.067,-0.0359,2038 海光,M2000 鋼鐵工業,0.051,0.4743,6,3.4104,0.9233,1,3.1181,0.9365,1,0.4984,0.4458,6,"3,920,751,609",0.7831,3,0.92,0.885,2,1.7198,0.9562,1,1.06,0.3757,7,0.63,0.3844,7,0.043,0.1577,9,58.35,0.2289,8,-0.0876,0.2859,8,-0.0329,0.2234,8
-0.1308,-0.0313,-0.1111,2049 上銀,M1500 電機機械,0.0571,0.4962,6,-0.4095,0.2421,8,-0.3742,0.2563,8,0.759,0.2048,8,"80,934,821,854",0.1227,9,2.81,0.2289,8,14.6981,0.2738,8,1.03,0.3691,7,0.76,0.4272,6,0.1459,0.4907,6,33.02,0.7054,3,-0.1118,0.2705,8,-0.0217,0.2596,8
-0.1141,-0.0418,-0.0913,2059 川湖,M2328 電子零組件,0.1532,0.7119,3,-0.3405,0.3012,8,-0.3123,0.3154,7,1.6045,0.0077,10,"120,606,506,748",0.0942,10,6.67,0.0296,10,62.2387,0.046,10,8.09,0.9759,1,6.52,0.9945,1,0.6364,0.9945,1,19.55,0.8949,2,2.0301,0.8423,2,0.137,0.8258,2
0.1397,-0.1022,-0.1132,2062 橋椿,M3800 居家生活,0.1829,0.759,3,0.365,0.6681,4,0.3176,0.678,4,0.6271,0.3001,8,"6,031,443,635",0.6561,4,0.78,0.9376,1,3.0333,0.862,2,1.95,0.5192,5,1.24,0.5706,5,0.151,0.5115,5,41.54,0.5531,5,4.6052,0.9365,1,0.0602,0.6156,4
0.077,-0.0295,-0.0236,2069 運錩,M2000 鋼鐵工業,0.0566,0.4918,6,0.4917,0.7097,3,0.4444,0.7119,3,0.3403,0.632,4,"2,710,341,726",0.8631,2,0.71,0.965,1,1.0966,0.977,1,-2.24,0.0701,10,-0.55,0.0964,10,0.0298,0.1041,10,58.91,0.2223,8,-1.1913,0.0745,10,-0.0472,0.1731,9
-0.0376,-0.0484,0.0287,2101 南港,M2100 橡膠工業,0.327,0.885,2,11.6513,0.9858,1,8.4069,0.988,1,0.1214,0.8905,2,"45,820,052,939",0.1763,9,3.18,0.184,9,23.2169,0.1533,9,0.05,0.207,8,0.09,0.1917,9,0.0365,0.1292,9,75.39,0.0778,10,1.0948,0.7229,3,0.1326,0.8215,2
0.1171,0.0878,0.0024,2102 泰豐,M2100 橡膠工業,0.0946,0.5816,5,2.9568,0.908,1,2.6945,0.9211,1,0.3688,0.598,5,"9,584,916,442",0.5192,5,1.19,0.7404,3,174.8147,0.0197,10,-1.23,0.103,10,-0.51,0.1041,10,0.0771,0.276,8,48.21,0.414,6,0.8217,0.6703,4,0.4154,0.9715,1
-0.0625,-0.0274,-0.0403,2103 台橡,M2100 橡膠工業,0.0956,0.5838,5,0.6915,0.7415,3,0.612,0.7514,3,0.3504,0.6221,4,"19,871,784,044",0.322,7,0.96,0.8697,2,2.2722,0.9244,1,1.45,0.4337,6,0.97,0.494,6,0.1497,0.506,5,47.73,0.4283,6,0.0203,0.3582,7,0.1058,0.7744,3
-0.1016,-0.0385,-0.0522,2104 國際中橡,M2100 橡膠工業,-0.0136,0.2749,8,-0.2292,0.3855,7,-0.2295,0.3834,7,0.3163,0.6681,4,"17,823,678,613",0.3494,7,0.5,0.9956,1,4.0295,0.7755,3,-0.7,0.1369,9,-0.16,0.1479,9,0.1369,0.46,6,39.49,0.5936,5,-12.492,0.0088,10,0.0284,0.4732,6
-0.0594,-0.0789,-0.0339,2105 正新,M2100 橡膠工業,0.1574,0.7218,3,0.0948,0.5685,5,0.0709,0.575,5,0.361,0.6068,4,"163,699,588,107",0.0657,10,1.97,0.4272,6,6.9151,0.575,5,2.63,0.6375,4,1.7,0.6988,4,0.1769,0.6024,5,41.68,0.5509,5,0.402,0.5301,5,-0.0207,0.2629,8
-0.08,-0.0197,-0.03,2106 建大,M2100 橡膠工業,0.1686,0.7426,3,0.7512,0.7601,3,0.6137,0.7525,3,0.3594,0.609,4,"32,436,753,899",0.23,8,1.54,0.5717,5,3.926,0.7842,3,2.21,0.5717,5,1.21,0.5575,5,0.1723,0.5871,5,56.13,0.276,8,2.148,0.8532,2,-0.0032,0.333,7
0.037,0.0409,-0.0056,2107 厚生,M2100 橡膠工業,0.1245,0.6528,4,1.9205,0.8642,2,1.678,0.8686,2,0.263,0.7295,3,"7,700,494,794",0.5794,5,0.57,0.9869,1,28.3779,0.115,9,0.85,0.3406,7,0.76,0.425,6,0.0474,0.1698,9,14.28,0.9365,1,1.1023,0.724,3,0.0815,0.6988,4
0.1493,0.2702,0.0642,2108 南帝,M2100 橡膠工業,-0.05,0.1862,9,0.1524,0.5926,5,0.187,0.6254,4,0.3312,0.6429,4,"15,842,865,862",0.3844,7,1.16,0.7536,3,7.2577,0.5498,5,1.11,0.3844,7,0.98,0.4984,6,0.5003,0.9836,1,12.55,0.9496,1,-0.4161,0.1676,9,0.0142,0.4107,6
0.0922,0.0615,0.067,2109 華豐,M2100 橡膠工業,0.2936,0.8631,2,0.1074,0.575,5,0.0416,0.5575,5,0.2692,0.724,3,"4,807,850,010",0.7317,3,1.44,0.621,4,4.2924,0.7525,3,3.98,0.7941,3,2.58,0.8412,2,0.3386,0.9036,1,38.12,0.6145,4,0.9557,0.6922,4,-0.023,0.2563,8
-0.0378,-0.0252,-0.0156,2114 鑫永銓,M2100 橡膠工業,0.0142,0.3571,7,-0.1961,0.4031,7,-0.1971,0.402,7,0.097,0.9047,1,"8,006,449,260",0.5652,5,2.72,0.2432,8,23.8028,0.149,9,3.11,0.6955,4,2.55,0.8335,2,0.2153,0.701,4,17.71,0.9102,1,0.0335,0.3691,7,0.0523,0.5728,5
-0.2486,-0.1077,-0.0539,2201 裕隆,M2200 汽車工業,0.0393,0.4458,6,0.6519,0.736,3,0.6201,0.7536,3,0.5159,0.425,6,"74,453,362,048",0.1249,9,1.18,0.747,3,3.6065,0.8094,2,1.81,0.4962,6,0.45,0.3319,7,0.0331,0.1194,9,76.38,0.0701,10,-0.2783,0.2114,8,0.056,0.5904,5
-0.3585,-0.0365,-0.0766,2204 中華,M2200 汽車工業,0.1638,0.7327,3,0.1562,0.5958,5,0.0541,0.5641,5,0.7661,0.1982,9,"71,262,508,681",0.1303,9,2.11,0.3932,7,5.8147,0.6396,4,3.38,0.7459,3,2.56,0.8357,2,0.1048,0.3658,7,27.07,0.7897,3,-0.1543,0.2563,8,0.1028,0.7678,3
-0.0366,0.0305,-0.0279,2206 三陽工業,M2200 汽車工業,0.1,0.5947,5,0.8499,0.7809,3,0.7275,0.782,3,0.2658,0.7262,3,"59,894,499,721",0.1468,9,2.49,0.2881,8,3.5615,0.8193,2,5.54,0.9102,1,2.45,0.8193,2,0.1359,0.4502,6,56.78,0.2607,8,0.0244,0.3647,7,0.0805,0.6966,4
0.0355,0.0143,0.0063,2207 和泰車,M2200 汽車工業,-0.0174,0.2629,8,0.0121,0.5301,5,0.0653,0.5706,5,0.3281,0.6506,4,"336,228,957,805",0.0307,10,5.45,0.0559,10,4.8502,0.7141,3,6.93,0.9551,1,1.68,0.6944,4,0.0429,0.1566,9,79.85,0.0559,10,0.1623,0.4447,6,0.1632,0.8598,2
-0.0605,-0.0868,-0.0789,2208 台船,M2600 航運業,0.0358,0.4348,6,-0.2664,0.3527,7,-0.2813,0.3472,7,0.3907,0.5685,5,"23,961,341,641",0.2892,8,2.11,0.3921,7,6.3997,0.6002,5,-3.82,0.0394,10,-0.77,0.0811,10,0.1381,0.4633,6,69.28,0.1183,9,0.7997,0.6648,4,-0.2017,0.0153,10
-0.164,-0.0507,-0.0068,2211 長榮鋼,M2000 鋼鐵工業,0.3886,0.9211,1,0.0418,0.5433,5,-0.123,0.4524,6,0.724,0.2278,8,"58,277,061,939",0.1512,9,2.05,0.4118,6,20.8401,0.172,9,2,0.5356,5,1.57,0.6747,4,0.0725,0.2618,8,23.08,0.8456,2,-0.009,0.3297,7,0.1696,0.8719,2
-0.1372,-0.0397,-0.0217,2227 裕日車,M2200 汽車工業,-0.1976,0.0252,10,-0.596,0.1325,9,-0.5473,0.1555,9,0.5937,0.3286,7,"39,640,950,000",0.1917,9,2.07,0.4053,6,5.2186,0.6933,4,3.27,0.7174,3,2.57,0.839,2,0.2958,0.8576,2,21.58,0.8719,2,0.5534,0.5849,5,-0.0387,0.2037,9
-0.1639,-0.0779,-0.0303,2228 劍麟,M2200 汽車工業,0.3128,0.8751,2,1.3825,0.8324,2,1.0853,0.8313,2,0.4957,0.4502,6,"8,624,505,651",0.5411,5,1.61,0.5509,5,6.9386,0.5717,5,5.83,0.9179,1,4.27,0.9704,1,0.2934,0.8565,2,25.67,0.8127,2,1.7967,0.8204,2,0.0844,0.7152,3
-0.0094,0.1233,0.1991,2231 為升,M2200 汽車工業,-0.1692,0.0405,10,-0.0169,0.5115,5,0.0849,0.5838,5,0.1551,0.8543,2,"14,865,173,000",0.3932,7,3.87,0.1249,9,13.9882,0.2903,8,2.44,0.6145,4,1.37,0.6156,4,0.1216,0.4107,6,48.86,0.402,7,-0.2266,0.2234,8,0.0731,0.6703,4
0.0535,0.0147,-0.0147,2233 宇隆,M2200 汽車工業,-0.0289,0.2344,8,-0.5999,0.126,9,-0.5786,0.1271,9,0.5895,0.3352,7,"7,781,932,269",0.5761,5,2.07,0.4042,6,8.9922,0.4524,6,4.04,0.7963,3,2.83,0.8762,2,0.2391,0.7547,3,30.39,0.7492,3,0.5374,0.5783,5,0.1158,0.7941,3
-0.3939,-0.1869,-0.0646,2241 艾姆勒,M2200 汽車工業,0.5311,0.9551,1,2.3012,0.8784,2,1.6023,0.8653,2,0.5935,0.3297,7,"5,156,893,686",0.7076,3,2.66,0.2574,8,27.868,0.1183,9,-2.33,0.0679,10,-1.32,0.0504,10,0.0572,0.2026,9,37.39,0.6309,4,0.5113,0.5717,5,-0.0371,0.2092,8
-0.0448,-0.0383,-0.0138,2247 汎德永業,M2200 汽車工業,0.1162,0.632,4,-0.1159,0.4502,6,-0.1486,0.4337,6,0.319,0.6648,4,"24,887,426,233",0.2859,8,2.17,0.3691,7,1.8478,0.9441,1,3.43,0.7525,3,1.91,0.7393,3,0.3027,0.8697,2,48,0.4184,6,0.0386,0.3746,7,0.0311,0.494,6
0.0239,0.0431,0.0287,2301 光寶科,M2325 電腦及週邊,-0.0164,0.2673,8,-0.4404,0.2169,8,-0.3697,0.2651,8,0.7436,0.2125,8,"235,017,698,370",0.0515,10,2.85,0.2245,8,8.1674,0.4918,6,2.83,0.6637,4,1.42,0.6232,4,0.4579,0.9715,1,54.57,0.3089,7,0.0148,0.3494,7,0.0056,0.3735,7
-0.0374,0.054,0.0225,2302 麗正,M2324 半導體,-0.0303,0.2278,8,-0.7057,0.0646,10,-0.6739,0.0668,10,0.4019,0.5608,5,"2,878,403,525",0.8499,2,1.66,0.5323,5,19.7236,0.1873,9,1.04,0.3724,7,0.78,0.4348,6,0.2448,0.7667,3,25.93,0.8083,2,0.7232,0.6451,4,0.1063,0.7766,3
0.1085,0.0822,0.0806,2303 聯電,M2324 半導體,0.0528,0.4808,6,-0.3239,0.3165,7,-0.3215,0.3056,7,0.7363,0.2202,8,"616,110,581,751",0.0142,10,1.73,0.5038,5,11.2774,0.3625,7,2.83,0.6659,4,1.91,0.7382,3,0.2106,0.6846,4,33.3,0.7032,3,-0.3539,0.1873,9,0.0317,0.4984,6
-0.0649,0.1007,0.038,2305 全友,M2325 電腦及週邊,-0.0675,0.1555,9,-0.7995,0.0186,10,-0.7649,0.0186,10,0.3346,0.6396,4,"4,545,104,277",0.7426,3,2.25,0.3417,7,26.1741,0.1281,9,1.48,0.4425,6,1.18,0.5444,5,0.1659,0.5685,5,21.83,0.8675,2,4.4722,0.9332,1,0.0073,0.3834,7
0.2938,0.3128,0.0978,2308 台達電,M2328 電子零組件,0.1213,0.6418,4,-0.3209,0.3187,7,-0.3098,0.3176,7,1.1878,0.0471,10,"813,479,917,464",0.0099,10,4.2,0.1106,9,8.9102,0.4567,6,2.79,0.6583,4,1.56,0.6725,4,0.2059,0.6747,4,45.62,0.471,6,-0.1656,0.2508,8,0.1067,0.7777,3
0.4644,0.6603,0.1254,2312 金寶,M2331 其他電子業,0.0596,0.5027,6,-0.097,0.4655,6,-0.0831,0.4819,6,0.6687,0.2683,8,"23,680,804,866",0.2913,8,1.06,0.8138,2,0.7195,0.9967,1,1.7,0.4754,6,0.83,0.448,6,0.1399,0.4688,6,68.83,0.1271,9,0.7644,0.6572,4,-0.0678,0.1249,9
0.0011,0.2135,0.0167,2313 華通,M2328 電子零組件,0.0014,0.3154,7,-0.5319,0.1698,9,-0.5262,0.1621,9,0.8361,0.1533,9,"83,001,961,280",0.1194,9,2.43,0.2979,8,5.3354,0.6824,4,2.53,0.6243,4,1.36,0.6123,4,0.1498,0.5071,5,51.19,0.3625,7,1.7754,0.8182,2,0.0856,0.7174,3
