,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
124,4,0.019,0.379,7,0.3354,0.655,4,0.3147,0.6758,4,0.3213,0.6627,4,2489709640.0,0.8817,2,1.28,0.6911,4,3.4509,0.8269,2,3.09,0.6933,4,1.75,0.7087,3,0.0215,0.0646,10,47.07,0.4414,6,0.921,0.6857,4,0.0615,0.6199,4
774,31,0.0479,0.4666,6,-0.3185,0.3231,7,-0.3087,0.3198,7,0.1127,0.897,2,5315329140.0,0.6933,4,1.41,0.6353,4,3.7004,0.7996,3,1.99,0.5268,5,0.88,0.4666,6,0.1356,0.4469,6,64.27,0.1577,9,5.8547,0.9452,1,-0.003,0.3341,7
609,21,0.238,0.8193,2,7.4837,0.965,1,5.5229,0.965,1,-0.2393,0.9901,1,26506731340.0,0.2716,8,0.94,0.874,2,4.3024,0.7514,3,-0.38,0.1599,9,0.04,0.1763,9,0.074,0.2673,8,62.41,0.1796,9,-0.5485,0.1424,9,0.1055,0.7733,3
144,5,0.6993,0.9781,1,1.7304,0.8532,2,0.8822,0.8072,2,-0.2572,0.9912,1,9842309053.0,0.5104,5,1.32,0.6703,4,9.9169,0.414,6,2.28,0.5827,5,1.86,0.7306,3,0.0245,0.0821,10,19.74,0.8927,2,1.2137,0.7437,3,0.2939,0.9474,1
871,31,0.0217,0.3834,7,-0.148,0.4304,6,-0.1373,0.4425,6,0.1352,0.8817,2,3311891010.0,0.8226,2,2.23,0.3538,7,13.5938,0.3001,8,2.44,0.6166,4,2.1,0.7678,3,0.4746,0.977,1,16.88,0.9189,1,-0.186,0.2399,8,-0.0781,0.1019,10
198,10,0.2139,0.7963,3,2.3294,0.8817,2,1.8338,0.8795,2,0.3915,0.5674,5,12934066732.0,0.4261,6,1.08,0.7974,3,2.474,0.908,1,1.73,0.4819,6,1.06,0.5214,5,0.0272,0.0931,10,45.24,0.4786,6,-0.0279,0.3143,7,0.0799,0.6911,4
610,16,-0.1285,0.069,10,-0.6096,0.1205,9,-0.5698,0.1325,9,0.733,0.2234,8,16001003672.0,0.3812,7,1.74,0.5027,6,2.8786,0.8795,2,0.45,0.2738,8,0.29,0.2804,8,0.3001,0.8653,2,52.8,0.3406,7,-0.9037,0.0986,10,-0.0255,0.2432,8
280,20,0.2131,0.7952,3,-0.5979,0.1303,9,-0.601,0.1117,9,1.1278,0.0591,10,104159921991.0,0.1041,10,5.32,0.0635,10,23.5759,0.1501,9,4.49,0.8379,2,2.89,0.8861,2,0.1361,0.4535,6,39.68,0.5849,5,0.0194,0.356,7,0.0617,0.6221,4
294,13,0.1322,0.6769,4,-0.4416,0.2147,8,-0.4167,0.2234,8,0.9313,0.1073,9,264053897360.0,0.0427,10,6.04,0.0405,10,10.3054,0.3976,7,6.97,0.9562,1,3.26,0.92,1,0.1017,0.3538,7,52.4,0.3472,7,0.745,0.6506,4,-0.0709,0.1172,9
401,21,0.7292,0.9814,1,0.3424,0.6572,4,0.0944,0.5882,5,-1.0435,1.0,1,14323904244.0,0.4053,6,3.23,0.1796,9,6.1242,0.6112,4,3.21,0.7054,3,0.84,0.4513,6,0.0213,0.0624,10,76.36,0.0712,10,3.5695,0.9157,1,0.1094,0.7831,3
123,4,0.1538,0.7141,3,1.099,0.8105,2,0.9174,0.8116,2,0.1663,0.8412,2,1669718463.0,0.943,1,1.08,0.7963,3,13.17,0.3122,7,3.86,0.7831,3,3.21,0.9135,1,0.0373,0.1325,9,17.16,0.9146,1,3.5528,0.9146,1,0.1418,0.8368,2
184,8,0.2861,0.8532,2,-0.6337,0.1084,9,-0.6147,0.0997,10,0.7143,0.2432,8,3835199353.0,0.7875,3,1.53,0.5794,5,6.488,0.5915,5,0.42,0.2651,8,0.39,0.3111,7,0.1312,0.4359,6,26.3,0.8007,3,2.417,0.8697,2,-0.0196,0.2673,8
203,10,-0.0032,0.3023,8,1.1518,0.8182,2,1.0693,0.8291,2,0.5259,0.4151,6,6859526507.0,0.6156,4,1.07,0.8028,2,9.4367,0.4326,6,4.87,0.8653,2,3.09,0.9036,1,0.0286,0.0997,10,39.91,0.5827,5,6.9196,0.954,1,0.1003,0.7612,3
439,23,0.2208,0.8018,3,4.1379,0.9365,1,2.8934,0.9299,1,0.5425,0.3866,7,5921732200.0,0.6627,4,3.29,0.1731,9,4.3676,0.7459,3,13.04,0.9978,1,1.51,0.655,4,0.0161,0.046,10,89.77,0.0307,10,1.0339,0.7119,3,-0.0353,0.2169,8
247,14,-0.0675,0.1555,9,-0.7995,0.0186,10,-0.7649,0.0186,10,0.3346,0.6396,4,4545104277.0,0.7426,3,2.25,0.3417,7,26.1741,0.1281,9,1.48,0.4425,6,1.18,0.5444,5,0.1659,0.5685,5,21.83,0.8675,2,4.4722,0.9332,1,0.0073,0.3834,7
416,22,0.0958,0.586,5,0.759,0.7645,3,0.7011,0.7766,3,0.1547,0.8554,2,9387272141.0,0.5246,5,0.72,0.9584,1,9.2074,0.4469,6,1.07,0.3779,7,0.89,0.4688,6,0.1577,0.54,5,49.37,0.3943,7,-0.2614,0.2202,8,0.0876,0.7218,3
805,20,0.126,0.6572,4,1.3678,0.8302,2,1.0217,0.8215,2,0.7981,0.1763,9,8378505000.0,0.5487,5,2.92,0.218,8,7.3244,0.5444,5,-1.43,0.0953,10,-0.05,0.1621,9,0.0245,0.0832,10,69.27,0.1194,9,-0.7235,0.1238,9,0.1132,0.7897,3
130,12,1.9766,0.9989,1,15.342,0.9934,1,6.7288,0.9792,1,0.4685,0.483,6,5177056208.0,0.7043,3,1.53,0.575,5,10.4405,0.3921,7,0.2,0.2322,8,0.28,0.2716,8,0.1533,0.5257,5,59.49,0.2125,8,-0.5416,0.1457,9,0.068,0.6506,4
638,4,1.0361,0.9934,1,9.2162,0.9792,1,6.3173,0.9726,1,0.7236,0.23,8,2718303300.0,0.862,2,1.65,0.5367,5,15.2209,0.264,8,-1.74,0.0854,10,-0.62,0.092,10,0.1089,0.379,7,53.18,0.333,7,-1.5427,0.057,10,-0.0456,0.1807,9
403,21,0.1942,0.7755,3,8.9144,0.9781,1,6.7209,0.9781,1,-0.4263,0.9945,1,10902144031.0,0.4765,6,2.32,0.3209,7,3.6311,0.8061,2,2.62,0.6353,4,0.99,0.5005,6,0.3797,0.9354,1,62.74,0.1763,9,-0.274,0.2136,8,0.0503,0.563,5
714,20,0.3314,0.8883,2,-0.0391,0.4995,6,-0.3363,0.2946,8,1.608,0.0066,10,51436891300.0,0.1588,9,4.3,0.1084,9,2.7107,0.8927,2,7.01,0.9584,1,2.17,0.7777,3,0.3483,0.9146,1,67.24,0.1358,9,1.9154,0.8346,2,0.0669,0.6418,4
811,18,0.0903,0.5717,5,-0.7693,0.0307,10,-0.7602,0.0197,10,0.4612,0.4918,6,4841817080.0,0.7284,3,2.38,0.3067,7,0.8786,0.9858,1,3.73,0.7755,3,1.41,0.621,4,0.0686,0.2442,8,69.31,0.1172,9,0.0086,0.3417,7,0.2159,0.9069,1
829,13,-0.0462,0.1928,9,1.1362,0.8149,2,1.0218,0.8226,2,0.9543,0.1062,9,13163456308.0,0.4239,6,4.52,0.0997,10,25.8229,0.1303,9,2.71,0.6495,4,2.11,0.77,3,0.1997,0.6594,4,22.43,0.8554,2,1.1752,0.7382,3,0.4059,0.9671,1
220,29,0.1829,0.759,3,0.365,0.6681,4,0.3176,0.678,4,0.6271,0.3001,8,6031443635.0,0.6561,4,0.78,0.9376,1,3.0333,0.862,2,1.95,0.5192,5,1.24,0.5706,5,0.151,0.5115,5,41.54,0.5531,5,4.6052,0.9365,1,0.0602,0.6156,4
642,4,0.0769,0.5378,5,-0.277,0.345,7,-0.2512,0.368,7,0.792,0.1796,9,8375691753.0,0.5498,5,2.6,0.2618,8,18.4518,0.2059,8,-0.37,0.161,9,-0.19,0.1446,9,0.0906,0.322,7,34.26,0.6955,4,-5.0244,0.0186,10,0.0513,0.5674,5
831,13,-0.0379,0.2092,8,-0.6378,0.1073,9,-0.6127,0.103,10,0.4663,0.4863,6,30636945707.0,0.2442,8,3.46,0.161,9,7.3838,0.5378,5,4.47,0.8357,2,3.13,0.9102,1,0.3542,0.9179,1,34.8,0.6791,4,0.46,0.5509,5,0.0293,0.4786,6
868,26,0.2922,0.8609,2,1.6022,0.8467,2,1.2291,0.8412,2,0.2254,0.7788,3,7517402033.0,0.5915,5,1.14,0.7623,3,10.0898,0.4064,6,2.21,0.5728,5,1.31,0.5936,5,0.0995,0.3516,7,48.49,0.4064,6,7.0619,0.9562,1,0.0019,0.3538,7
834,31,0.4981,0.9441,1,2.5428,0.8916,2,1.7794,0.8762,2,0.0413,0.9419,1,11917119150.0,0.4469,6,7.51,0.023,10,42.2172,0.0679,10,1.74,0.483,6,1.24,0.5696,5,0.1126,0.3855,7,37.2,0.6342,4,2.8471,0.8828,2,0.0329,0.5027,6
625,7,-0.0807,0.1325,9,-0.417,0.2322,8,-0.3775,0.2552,8,0.4317,0.5268,5,8986749826.0,0.5345,5,1.63,0.5422,5,13.8821,0.2924,8,0.02,0.2026,9,0.14,0.2092,8,0.1477,0.5027,6,52.89,0.3384,7,-0.9714,0.0909,10,0.0304,0.4841,6
