,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
689,15,-0.0941,0.1084,9,-0.3938,0.2618,8,-0.3444,0.2903,8,0.3858,0.5772,5,1736826000.0,0.9354,1,2.87,0.2223,8,21.1349,0.1698,9,-2.43,0.0657,10,-1.47,0.046,10,0.1256,0.4195,6,36.77,0.6396,4,-2.1882,0.0416,10,0.0245,0.4545,6
173,7,-0.0752,0.1424,9,-0.2502,0.3625,7,-0.1994,0.3976,7,0.4115,0.5476,5,3520719860.0,0.8083,2,1.12,0.7755,3,13.9871,0.2913,8,1.21,0.4031,7,0.87,0.4589,6,0.0236,0.0756,10,35.32,0.6681,4,-0.7737,0.1194,9,0.0424,0.5323,5
591,13,-0.0342,0.2191,8,-0.8438,0.0088,10,-0.8278,0.0088,10,0.5323,0.402,7,4995983106.0,0.7152,3,3.64,0.1424,9,16.0599,0.2475,8,0.63,0.3056,7,0.56,0.3702,7,0.2195,0.7108,3,10.88,0.9628,1,1.6185,0.8028,2,0.0222,0.448,6
652,6,-0.1409,0.0624,10,-0.0511,0.4918,6,0.0938,0.5871,5,0.0799,0.9189,1,2895598799.0,0.8488,2,1.37,0.6517,4,5.5538,0.6572,4,-1.19,0.1084,9,-0.4,0.1161,9,0.2531,0.7831,3,52.38,0.3483,7,-0.3722,0.1818,9,-0.0373,0.2081,8
793,15,0.3485,0.8959,2,0.2419,0.621,4,-0.0007,0.5389,5,0.0831,0.9157,1,6589089525.0,0.6276,4,3.16,0.1851,9,29.2977,0.1095,9,-2.48,0.0635,10,-1.23,0.0591,10,0.1772,0.6035,4,42.61,0.5257,5,0.4142,0.5312,5,-0.0629,0.1347,9
875,31,0.214,0.7974,3,-0.4013,0.2486,8,-0.4119,0.2289,8,-0.346,0.9934,1,1501766893.0,0.954,1,1.17,0.7492,3,10.5078,0.3866,7,2.97,0.6813,4,2.75,0.8609,2,0.1574,0.5378,5,6.76,0.9847,1,2.2068,0.8565,2,0.0607,0.6166,4
91,3,0.3972,0.9233,1,2.9717,0.9102,1,2.2926,0.9069,1,0.6588,0.2771,8,5716342406.0,0.6736,4,1.12,0.7798,3,2.4704,0.9102,1,5.47,0.9047,1,3.84,0.9573,1,0.1202,0.4074,6,31.65,0.7295,3,1.7347,0.8149,2,0.1245,0.8105,2
853,15,-0.0986,0.1051,9,-0.3396,0.3023,8,-0.311,0.3165,7,0.2867,0.7043,3,10049105515.0,0.5049,5,1.98,0.4261,6,2.1879,0.931,1,0.46,0.276,8,0.3,0.2815,8,0.0367,0.1303,9,60.51,0.1972,9,-0.2705,0.2158,8,0.054,0.5827,5
182,8,0.0047,0.3286,7,-0.7233,0.0591,10,-0.6744,0.0657,10,0.5583,0.3724,7,4157801216.0,0.7645,3,0.74,0.954,1,4.8655,0.713,3,0.19,0.23,8,0.2,0.2399,8,0.2328,0.7404,3,32.33,0.7174,3,1.3148,0.7612,3,-0.0024,0.3352,7
544,7,0.0149,0.3614,7,0.0651,0.5531,5,0.0735,0.5772,5,0.3231,0.6594,4,1945233973.0,0.9244,1,1.47,0.5991,5,17.2267,0.2223,8,2.24,0.5772,5,1.96,0.747,3,0.0542,0.1895,9,15.68,0.9255,1,3.2162,0.9014,2,0.0154,0.4162,6
812,7,-0.0589,0.172,9,0.0265,0.5378,5,0.0856,0.5849,5,0.0372,0.943,1,14451910200.0,0.402,7,4.83,0.0843,10,17.7402,0.2136,8,5.65,0.9113,1,3.61,0.9419,1,0.1029,0.3582,7,39.52,0.5915,5,3.3626,0.9091,1,-0.004,0.3275,7
70,3,0.4324,0.931,1,18.6787,0.9978,1,13.4631,0.9967,1,0.6371,0.2957,8,6618374279.0,0.6254,4,2.56,0.2683,8,9.2236,0.4447,6,17.59,0.9989,1,6.67,0.9956,1,0.1033,0.3604,7,59.42,0.2158,8,23.6696,0.9901,1,-0.0497,0.1643,9
292,14,-0.1606,0.0504,10,-0.4836,0.1982,9,-0.4387,0.2092,8,0.8507,0.1457,9,203287696812.0,0.0537,10,5.06,0.0734,10,3.6859,0.8018,3,5.31,0.9014,2,2.2,0.782,3,0.1569,0.5345,5,63.75,0.1654,9,0.975,0.6955,4,0.6793,0.9945,1
132,28,0.0297,0.4195,6,-0.0305,0.5027,6,-0.0362,0.5181,5,0.3762,0.586,5,5572358085.0,0.6857,4,1.09,0.7941,3,3.1529,0.8554,2,0.58,0.2946,8,0.41,0.3176,7,0.0941,0.3384,7,56.11,0.2771,8,1.2907,0.7547,3,-0.0406,0.195,9
347,13,0.0704,0.5214,5,-0.1211,0.4469,6,-0.089,0.4732,6,0.3655,0.6002,5,44994658002.0,0.1785,9,5.42,0.057,10,14.4868,0.2793,8,7.04,0.9617,1,4.48,0.9737,1,0.2187,0.7087,3,39.07,0.6035,4,1.2275,0.7448,3,0.1054,0.7722,3
799,13,-0.3886,0.0044,10,-0.6932,0.0679,10,-0.6025,0.1106,9,0.6076,0.3143,7,5055014900.0,0.7108,3,3.61,0.1446,9,23.4975,0.1512,9,-1.3,0.0997,10,-1.18,0.0624,10,0.4095,0.9496,1,8.34,0.9781,1,0.3797,0.5246,5,0.0041,0.3669,7
136,5,0.8305,0.9869,1,1.9935,0.8675,2,1.1096,0.8335,2,1.0202,0.0887,10,23328271014.0,0.2946,8,2.37,0.3089,7,8.8994,0.4578,6,3.31,0.7262,3,2.24,0.7864,3,0.011,0.0274,10,34.24,0.6966,4,-0.1842,0.2421,8,0.0005,0.3505,7
165,6,-0.0696,0.1533,9,-0.1021,0.4611,6,-0.049,0.5104,5,0.2159,0.7886,3,1220263764.0,0.9737,1,2.46,0.2913,8,8.1662,0.4929,6,0.96,0.3549,7,0.7,0.4053,6,0.2021,0.6648,4,27.4,0.782,3,3.1016,0.8959,2,0.0981,0.7536,3
28,2,-0.1025,0.1008,10,0.7703,0.7678,3,0.859,0.8007,3,0.3606,0.6079,4,18848201922.0,0.333,7,0.82,0.92,1,1.5675,0.9606,1,-2.06,0.0778,10,-1.24,0.0581,10,0.1363,0.4556,6,36.4,0.6506,4,-3.0809,0.0318,10,-0.039,0.2026,9
513,13,-0.397,0.0033,10,-0.4468,0.2114,8,-0.3205,0.3067,7,0.7637,0.2004,9,70027690745.0,0.1336,9,6.59,0.0307,10,27.1569,0.1194,9,2.34,0.598,5,1.78,0.7196,3,0.548,0.989,1,23.16,0.8412,2,-0.4417,0.161,9,0.3028,0.9485,1
194,10,0.0307,0.4228,6,-0.1708,0.4206,6,-0.1419,0.4381,6,0.2409,0.7568,3,48514967940.0,0.1687,9,1.73,0.5104,5,3.2659,0.8456,2,3.66,0.7722,3,2.09,0.7634,3,0.039,0.1413,9,48.3,0.4118,6,-0.0325,0.3133,7,0.0267,0.4622,6
320,17,0.1835,0.7623,3,-0.2332,0.3801,7,-0.288,0.3373,7,0.2896,0.7021,4,8372032558.0,0.552,5,2.11,0.3888,7,15.063,0.2694,8,4.96,0.8762,2,3.51,0.9365,1,0.2007,0.6627,4,30.82,0.7382,3,0.4306,0.5378,5,0.0026,0.3604,7
583,15,0.0781,0.5422,5,0.1255,0.5838,5,0.1451,0.6046,4,0.3944,0.5641,5,2019787696.0,0.92,1,1.46,0.6057,4,34.7807,0.0865,10,-0.91,0.1194,9,-0.54,0.1008,10,0.3093,0.8751,2,33.94,0.6977,4,-9.9497,0.012,10,-0.1427,0.0372,10
170,1,0.0059,0.3319,7,1.3938,0.8357,2,1.3657,0.8499,2,0.1941,0.8116,2,6620000000.0,0.6243,4,1.03,0.8248,2,8.1397,0.4951,6,1.31,0.4162,6,1.05,0.5203,5,0.1821,0.6177,4,19.93,0.8894,2,-0.0346,0.3122,7,0.0024,0.3571,7
406,21,0.4364,0.9321,1,0.7396,0.7568,3,0.4843,0.7196,3,0.3419,0.6287,4,30420209799.0,0.2475,8,4.35,0.1051,9,5.6787,0.6451,4,5.52,0.908,1,2.2,0.7809,3,0.058,0.2059,8,60.74,0.195,9,0.7027,0.6364,4,0.013,0.4042,6
141,5,0.3759,0.9157,1,1.7535,0.8543,2,1.3261,0.8467,2,1.086,0.0712,10,10720513004.0,0.4841,6,2.96,0.2103,8,8.2329,0.4852,6,5.3,0.9003,2,3.52,0.9376,1,0.023,0.0712,10,35.38,0.6659,4,0.6311,0.6177,4,0.2362,0.9189,1
174,6,0.2274,0.8083,2,-0.5981,0.1292,9,-0.6137,0.1019,10,0.8859,0.1292,9,41647325000.0,0.1873,9,5.08,0.0723,10,15.722,0.2574,8,4.5,0.839,2,2.84,0.8773,2,0.0224,0.0701,10,36.77,0.6407,4,0.0905,0.4107,6,0.0555,0.5849,5
6,0,0.1093,0.6177,4,1.6006,0.8445,2,1.3915,0.8532,2,0.1383,0.8773,2,11508141235.0,0.4578,6,1.13,0.7711,3,19.9484,0.1851,9,0.5,0.2815,8,0.43,0.322,7,0.0195,0.0548,10,24.19,0.828,2,-0.1616,0.2519,8,-0.0079,0.3056,7
903,31,0.1227,0.644,4,1.9295,0.8653,2,1.6739,0.8675,2,0.1959,0.8094,2,23121211585.0,0.2957,8,1.7,0.5159,5,7.3643,0.54,5,3.58,0.7645,3,1.58,0.678,4,0.1621,0.5553,5,57.88,0.2432,8,-0.0842,0.2881,8,0.0409,0.5279,5
685,16,-0.0389,0.207,8,-0.6136,0.1183,9,-0.5667,0.138,9,0.7221,0.2311,8,33424708845.0,0.2212,8,2.82,0.2278,8,2.0638,0.9354,1,4.92,0.8708,2,1.51,0.6583,4,0.2167,0.7054,3,70.92,0.1073,9,0.3329,0.5082,5,0.1691,0.8708,2
74,3,0.0208,0.3823,7,0.3309,0.6528,4,0.2897,0.6703,4,0.1624,0.8434,2,2234185213.0,0.9047,1,0.79,0.9299,1,6.7294,0.5783,5,-0.12,0.1873,9,-0.11,0.1566,9,0.28,0.8401,2,5.85,0.9869,1,0.7264,0.6495,4,0.014,0.4096,6
632,4,0.3178,0.8795,2,1.8112,0.8554,2,1.4503,0.8587,2,0.7794,0.1862,9,14390080493.0,0.4031,7,1.26,0.6977,4,2.9171,0.8751,2,2.44,0.6134,4,1.11,0.5345,5,0.1431,0.4797,6,58.01,0.2399,8,1.3168,0.7623,3,0.1376,0.828,2
536,14,0.5379,0.9573,1,7.9495,0.9726,1,5.9819,0.9671,1,1.3069,0.0285,10,4157641073.0,0.7656,3,1.11,0.7853,3,5.3378,0.6813,4,0.54,0.287,8,0.39,0.3122,7,0.1477,0.5016,6,40.11,0.5783,5,1.1282,0.7284,3,0.0078,0.3866,7
607,14,0.0246,0.4009,7,-0.7614,0.0372,10,-0.7366,0.0383,10,0.7617,0.2037,9,13618989445.0,0.4151,6,3.24,0.1774,9,4.3168,0.7503,3,1.75,0.4874,6,1.14,0.54,5,0.2538,0.7853,3,37.63,0.6243,4,0.9514,0.69,4,0.1604,0.8576,2
146,7,0.0359,0.4359,6,-0.2962,0.3373,7,-0.3045,0.3242,7,0.3425,0.6276,4,22061802686.0,0.3001,8,2.29,0.3286,7,9.3979,0.4348,6,3.29,0.7207,3,2.5,0.8248,2,0.3104,0.8762,2,22.78,0.8488,2,-0.0783,0.2935,8,0.0341,0.5071,5
235,12,-0.0174,0.2629,8,0.0121,0.5301,5,0.0653,0.5706,5,0.3281,0.6506,4,336228957805.0,0.0307,10,5.45,0.0559,10,4.8502,0.7141,3,6.93,0.9551,1,1.68,0.6944,4,0.0429,0.1566,9,79.85,0.0559,10,0.1623,0.4447,6,0.1632,0.8598,2
221,10,0.0566,0.4918,6,0.4917,0.7097,3,0.4444,0.7119,3,0.3403,0.632,4,2710341726.0,0.8631,2,0.71,0.965,1,1.0966,0.977,1,-2.24,0.0701,10,-0.55,0.0964,10,0.0298,0.1041,10,58.91,0.2223,8,-1.1913,0.0745,10,-0.0472,0.1731,9
410,22,0.1878,0.7678,3,1.0009,0.8007,3,0.8393,0.7974,3,0.123,0.8883,2,47393682024.0,0.1742,9,1.19,0.7415,3,12.1109,0.3384,7,2.74,0.6539,4,1.55,0.6681,4,0.1751,0.5947,5,55.31,0.2903,8,0.9985,0.6999,4,0.0616,0.621,4
619,7,0.009,0.3428,7,-0.2477,0.3669,7,-0.2399,0.3746,7,0.2993,0.6911,4,2744794350.0,0.8587,2,1.23,0.7152,3,4.2444,0.759,3,1.7,0.4765,6,1.31,0.5958,5,0.1775,0.6046,4,28.29,0.7678,3,-0.2113,0.2289,8,0.0164,0.425,6
133,5,0.19,0.77,3,0.8194,0.7744,3,0.6259,0.7558,3,0.6953,0.253,8,7966438267.0,0.5696,5,1.28,0.69,4,7.7389,0.5137,5,1.6,0.4655,6,1.09,0.5312,5,0.0094,0.0208,10,35.24,0.6714,4,0.6082,0.609,4,0.0771,0.6813,4
873,23,-0.0817,0.1281,9,2.3777,0.8839,2,2.1135,0.8981,2,0.0037,0.9562,1,1859377932.0,0.931,1,2.19,0.3604,7,2.9622,0.8686,2,10.28,0.9869,1,4.23,0.966,1,0.1411,0.4732,6,58.31,0.2311,8,0.5623,0.5893,5,0.0343,0.5093,5
413,22,0.5305,0.954,1,2.6915,0.8981,2,2.0123,0.8883,2,0.5398,0.391,7,241948349084.0,0.0504,10,0.53,0.9934,1,5.5238,0.6616,4,3.33,0.7317,3,2.47,0.8237,2,0.1793,0.6112,4,27.9,0.7733,3,1.7575,0.8171,2,-0.1994,0.0175,10
186,8,0.0722,0.5268,5,3.3435,0.92,1,3.2941,0.9409,1,0.2513,0.7415,3,2727444060.0,0.8598,2,1.29,0.6835,4,4.7381,0.7262,3,3.21,0.7087,3,2.51,0.828,2,0.1366,0.4578,6,21.16,0.8762,2,1.0339,0.713,3,0.0397,0.5235,5
41,2,0.0,0.3089,7,-0.5036,0.1895,9,-0.5076,0.1698,9,-0.0123,0.9628,1,2752365921.0,0.8576,2,1.17,0.7514,3,3.5975,0.8105,2,1.55,0.4556,6,0.94,0.4863,6,0.2136,0.6955,4,46.71,0.4458,6,-0.1094,0.2738,8,-0.0224,0.2585,8
729,17,0.0535,0.483,6,-0.4272,0.2234,8,-0.4314,0.2136,8,0.3747,0.5882,5,32994129310.0,0.2256,8,1.57,0.5641,5,6.4381,0.598,5,2.71,0.6484,4,1.62,0.6857,4,0.2603,0.7952,3,42.63,0.5246,5,-0.018,0.3253,7,0.1312,0.8171,2
109,12,-0.0381,0.2081,8,-0.1751,0.4195,6,-0.1374,0.4414,6,0.4933,0.4545,6,4967845917.0,0.7163,3,1.11,0.7831,3,16.1011,0.2421,8,1.0,0.3614,7,0.84,0.4535,6,0.3124,0.8784,2,15.55,0.9277,1,-0.7485,0.1216,9,0.0056,0.3746,7
437,23,-0.0566,0.1731,9,0.0932,0.5674,5,0.1153,0.5936,5,0.6003,0.3231,7,18488416812.0,0.3384,7,5.82,0.0471,10,3.2908,0.8434,2,6.86,0.954,1,2.02,0.7568,3,0.1629,0.5608,5,75.04,0.0811,10,-0.1698,0.2486,8,0.0211,0.4392,6
56,3,0.1282,0.6627,4,2.3816,0.885,2,2.2549,0.9025,1,0.1491,0.8642,2,3416959814.0,0.816,2,1.04,0.8171,2,85.0244,0.0296,10,0.07,0.2125,8,0.06,0.1829,9,0.0872,0.3122,7,8.33,0.9792,1,-0.9317,0.0964,10,-0.033,0.2223,8
334,15,-0.1217,0.0778,10,-0.5761,0.1424,9,-0.5264,0.161,9,0.9664,0.1041,10,1411485628.0,0.9606,1,3.23,0.1785,9,22.5553,0.1588,9,-6.53,0.0175,10,-2.91,0.0208,10,0.1321,0.4403,6,53.78,0.3209,7,-3.3459,0.0307,10,0.6715,0.9934,1
360,17,0.224,0.805,2,-0.0056,0.5192,5,-0.0303,0.5214,5,0.7463,0.2114,8,18658148735.0,0.3352,7,1.99,0.4206,6,13.2846,0.3078,7,3.34,0.7349,3,2.35,0.8072,2,0.4675,0.9737,1,31.73,0.7262,3,4.0938,0.9233,1,0.2886,0.9452,1
514,18,-0.2783,0.011,10,0.1062,0.5717,5,0.1657,0.6134,4,1.1737,0.0493,10,153556916492.0,0.0701,10,1.78,0.4863,6,0.7971,0.9923,1,2.04,0.5422,5,0.82,0.4469,6,0.1862,0.6298,4,70.74,0.1084,9,1.1984,0.7415,3,0.565,0.988,1
24,1,0.0145,0.3593,7,-0.5915,0.1369,9,-0.5941,0.1194,9,-0.0131,0.965,1,12537628883.0,0.4359,6,5.32,0.0624,10,726.3559,0.0131,10,1.75,0.4852,6,1.0,0.5016,6,0.0076,0.0153,10,48.27,0.4129,6,0.0146,0.3472,7,0.3772,0.9617,1
364,13,-0.0824,0.126,9,-0.215,0.3932,7,-0.1755,0.4217,6,0.8715,0.1325,9,21246392383.0,0.3078,7,1.64,0.54,5,7.3033,0.5465,5,1.55,0.4545,6,0.94,0.4852,6,0.0939,0.3363,7,50.05,0.379,7,0.3699,0.5214,5,0.0285,0.4754,6
446,24,0.0514,0.4775,6,-0.1818,0.4129,6,-0.1952,0.4031,7,0.0958,0.9058,1,19649787832.0,0.3264,7,0.8,0.9266,1,29.0535,0.1128,9,1.73,0.4786,6,0.19,0.2278,8,0.0015,0.0022,10,89.05,0.0329,10,-0.1412,0.2607,8,0.0955,0.7426,3
452,24,0.0288,0.414,6,-0.0759,0.4775,6,-0.0776,0.4907,6,0.3092,0.6758,4,27279873561.0,0.2683,8,0.82,0.9179,1,20.3694,0.1807,9,0.91,0.3483,7,0.09,0.1906,9,0.0094,0.0219,10,90.32,0.0296,10,1.5193,0.7919,3,0.0305,0.4852,6
51,3,0.124,0.6506,4,-0.3622,0.2848,8,-0.3572,0.2793,8,0.0523,0.9365,1,4345000000.0,0.7503,3,1.36,0.6528,4,31.0089,0.0986,10,0.58,0.2957,8,0.45,0.333,7,0.0368,0.1314,9,30.4,0.7481,3,3.0369,0.8927,2,-0.0147,0.2826,8
423,22,0.3183,0.8806,2,4.8372,0.9507,1,3.811,0.9529,1,0.034,0.9452,1,8987475042.0,0.5334,5,2.29,0.3308,7,7.1302,0.5564,5,1.13,0.3899,7,0.77,0.4294,6,0.0354,0.126,9,45.8,0.4644,6,13.8558,0.977,1,0.2254,0.9113,1
835,17,0.0533,0.4819,6,1.6203,0.8478,2,1.4069,0.8565,2,0.4171,0.5455,5,12412951232.0,0.4403,6,1.21,0.7317,3,6.2906,0.6013,5,1.56,0.4578,6,1.0,0.5049,5,0.1829,0.6199,4,41.06,0.5608,5,3.9038,0.92,1,0.0928,0.7306,3
579,18,-0.004,0.3012,8,-0.6439,0.1008,10,-0.6496,0.0745,10,0.4339,0.5257,5,3200261717.0,0.8248,2,1.77,0.4918,6,2.5906,0.9036,1,3.23,0.713,3,1.05,0.5192,5,0.1748,0.5936,5,72.46,0.0986,10,0.0889,0.4085,6,-0.2006,0.0164,10
265,13,-0.1218,0.0767,10,-0.3482,0.2946,8,-0.3093,0.3187,7,0.7733,0.1906,9,16409275429.0,0.3735,7,2.09,0.3976,7,17.1405,0.2234,8,-0.45,0.1501,9,-0.24,0.1336,9,0.2113,0.6867,4,36.89,0.6386,4,-1.5084,0.0602,10,0.2549,0.931,1
454,24,0.2644,0.8368,2,1.1669,0.8215,2,0.9241,0.8127,2,0.5829,0.3417,7,21609695861.0,0.3023,8,0.96,0.8675,2,3.3883,0.8368,2,5.39,0.9025,1,1.94,0.7437,3,0.2174,0.7076,3,63.41,0.1687,9,0.6419,0.6199,4,0.0975,0.7503,3
623,7,-0.0658,0.1599,9,-0.0226,0.5093,5,0.01,0.5433,5,0.7196,0.2344,8,11897364675.0,0.448,6,2.17,0.3658,7,271.1403,0.0175,10,-3.53,0.0427,10,-2.04,0.035,10,0.3184,0.8861,2,40.18,0.5772,5,0.2612,0.4852,6,0.0263,0.46,6
426,22,0.2288,0.8094,2,0.5125,0.713,3,0.3463,0.6878,4,1.1703,0.0537,10,14555328297.0,0.3976,7,1.57,0.5652,5,3.1254,0.8576,2,3.21,0.7076,3,1.8,0.7229,3,0.3297,0.897,2,48.55,0.4042,6,0.0369,0.3713,7,0.0163,0.4239,6
838,18,0.0056,0.3308,7,-0.7698,0.0296,10,-0.7536,0.0252,10,0.4564,0.4973,6,2106712000.0,0.9124,1,0.98,0.8554,2,9.338,0.437,6,1.36,0.4228,6,1.25,0.5761,5,0.1563,0.5323,5,10.3,0.9671,1,1.929,0.8357,2,-0.0016,0.3406,7
18,1,0.0704,0.5203,5,0.4104,0.6835,4,0.3722,0.6966,4,0.1465,0.8686,2,35746876765.0,0.2081,8,1.93,0.437,6,5.2601,0.6889,4,2.77,0.6572,4,1.96,0.7481,3,0.13,0.4304,6,29.62,0.7568,3,0.8137,0.667,4,0.0194,0.4326,6
653,6,0.2483,0.828,2,0.0749,0.5564,5,-0.0352,0.5192,5,0.4722,0.4797,6,42821882054.0,0.1829,9,3.07,0.1982,9,8.5817,0.4754,6,5.19,0.8905,2,3.09,0.9047,1,0.2329,0.7415,3,45.41,0.4754,6,-0.0067,0.3319,7,0.0471,0.5498,5
519,17,0.1455,0.7032,3,-0.6259,0.1117,9,-0.6205,0.0942,10,0.83,0.1566,9,36588878079.0,0.2037,9,2.75,0.241,8,13.2878,0.3067,7,4.37,0.8248,2,2.84,0.8806,2,0.2137,0.6966,4,35.73,0.6594,4,0.8732,0.678,4,0.0278,0.471,6
352,20,0.3333,0.8894,2,0.4788,0.7065,3,0.2849,0.6681,4,1.492,0.0142,10,10258652249.0,0.4984,6,2.18,0.3625,7,7.1689,0.5531,5,0.35,0.2552,8,0.22,0.2475,8,0.1799,0.6123,4,63.07,0.172,9,0.0817,0.402,7,-0.0838,0.092,10
84,3,0.1372,0.6922,4,-0.0333,0.5005,6,-0.0583,0.5038,5,0.0207,0.9496,1,1578663927.0,0.9496,1,0.96,0.8631,2,14.1802,0.2892,8,2.28,0.5838,5,1.93,0.7426,3,0.0886,0.3165,7,15.9,0.9233,1,14.481,0.9781,1,0.0241,0.4524,6
61,31,0.1827,0.7579,3,0.7561,0.7623,3,0.657,0.7678,3,0.4026,0.5586,5,7152405361.0,0.6079,4,0.84,0.9102,1,40.3207,0.0712,10,2.14,0.5586,5,1.39,0.6166,4,0.0567,0.1972,9,41.61,0.552,5,0.3098,0.5049,5,0.0341,0.5082,5
273,14,-0.1754,0.0394,10,-0.5571,0.1512,9,-0.5282,0.1588,9,0.4035,0.5575,5,73250694192.0,0.1281,9,2.41,0.3012,8,1.5614,0.9617,1,0.62,0.3023,8,0.38,0.3089,7,0.1521,0.5225,5,67.57,0.1336,9,-0.207,0.2311,8,-0.043,0.1851,9
286,17,-0.2839,0.0099,10,-0.3967,0.2552,8,-0.2598,0.3614,7,0.9697,0.1019,10,94480303185.0,0.1095,9,7.25,0.0263,10,10.4728,0.3899,7,7.27,0.965,1,3.67,0.9485,1,0.2391,0.7558,3,52.45,0.3461,7,1.8289,0.8226,2,0.2381,0.9211,1
507,19,0.0595,0.5016,6,-0.5333,0.1687,9,-0.5278,0.1599,9,0.6578,0.2782,8,11825104645.0,0.4513,6,2.94,0.2158,8,2.9524,0.8697,2,4.75,0.862,2,2.55,0.8324,2,0.0846,0.3001,8,46.69,0.4469,6,0.118,0.4294,6,0.2286,0.9124,1
731,20,-0.0222,0.2541,8,-0.1131,0.4535,6,-0.1497,0.4326,6,1.2974,0.0307,10,30005592216.0,0.253,8,2.81,0.2322,8,2.053,0.9365,1,4.12,0.8018,3,1.26,0.5772,5,0.1562,0.5301,5,73.69,0.0865,10,0.071,0.3943,7,0.2156,0.9058,1
12,1,0.0762,0.5367,5,-0.1758,0.4173,6,-0.1815,0.4173,6,0.296,0.6944,4,433376407384.0,0.0186,10,3.29,0.1742,9,2.7298,0.8905,2,4.12,0.8028,2,1.36,0.6112,4,0.1441,0.483,6,69.11,0.1249,9,0.1065,0.4217,6,0.2324,0.9157,1
183,21,0.0747,0.5323,5,0.1105,0.5772,5,0.187,0.6243,4,0.7107,0.2442,8,46164879088.0,0.1752,9,4.48,0.1019,10,34.2439,0.0887,10,2.6,0.6331,4,0.8,0.4392,6,0.1133,0.3877,7,73.42,0.0887,10,-0.6049,0.1325,9,-0.0615,0.1391,9
399,21,0.8076,0.9858,1,8.0914,0.9748,1,5.0191,0.9606,1,1.1528,0.057,10,72080587803.0,0.1292,9,3.53,0.1533,9,30.9436,0.0997,10,5.85,0.9211,1,1.85,0.7295,3,0.0813,0.2903,8,69.82,0.1128,9,3.3335,0.9069,1,0.3089,0.9529,1
833,13,0.0254,0.4042,6,0.1666,0.5969,5,0.1453,0.6057,4,0.8639,0.1369,9,8808880531.0,0.5367,5,2.21,0.356,7,11.9776,0.3439,7,1.59,0.4622,6,0.83,0.4502,6,0.172,0.5849,5,55.57,0.2859,8,0.0229,0.3625,7,0.0392,0.5203,5
224,11,0.0956,0.5838,5,0.6915,0.7415,3,0.612,0.7514,3,0.3504,0.6221,4,19871784044.0,0.322,7,0.96,0.8697,2,2.2722,0.9244,1,1.45,0.4337,6,0.97,0.494,6,0.1497,0.506,5,47.73,0.4283,6,0.0203,0.3582,7,0.1058,0.7744,3
523,14,-0.0853,0.1205,9,-0.3157,0.3253,7,-0.2777,0.3494,7,0.7671,0.1972,9,4728163726.0,0.7371,3,3.68,0.1369,9,2.9931,0.8664,2,5.5,0.9069,1,2.5,0.8269,2,0.4766,0.9792,1,58.99,0.2212,8,0.4456,0.5476,5,0.5474,0.9847,1
639,4,0.0175,0.3746,7,-0.1053,0.4578,6,-0.075,0.4929,6,0.4564,0.4962,6,5254427739.0,0.6955,4,1.11,0.7809,3,29.1435,0.1106,9,-2.51,0.0624,10,-1.25,0.057,10,0.1442,0.4852,6,44.44,0.4973,6,-0.2801,0.2103,8,-0.0694,0.1205,9
742,17,0.0061,0.3341,7,-0.3361,0.3067,7,-0.2903,0.3363,7,0.5664,0.3582,7,4616284958.0,0.7404,3,1.9,0.4491,6,7.4119,0.5367,5,-0.02,0.195,9,0.09,0.195,9,0.2711,0.8258,2,37.9,0.621,4,4.0128,0.9222,1,-0.0245,0.2497,8
867,29,0.0173,0.3724,7,0.3492,0.6605,4,0.3751,0.6999,4,0.2275,0.7766,3,100086968318.0,0.1073,9,4.59,0.0953,10,15.8551,0.253,8,6.13,0.9299,1,4.29,0.9715,1,0.4235,0.9573,1,34.95,0.6758,4,0.266,0.4874,6,0.099,0.7568,3
533,14,0.0078,0.3395,7,-0.552,0.1566,9,-0.4972,0.1752,9,0.7693,0.195,9,1195554817.0,0.9759,1,1.56,0.5674,5,8.514,0.4775,6,-0.92,0.1183,9,-0.46,0.1051,9,0.3214,0.8894,2,36.77,0.6418,4,0.6203,0.6134,4,-0.1006,0.0635,10
724,15,0.4,0.9244,1,-0.3059,0.3308,7,-0.3654,0.2716,8,0.3278,0.6517,4,86742186406.0,0.115,9,2.13,0.3801,7,8.0115,0.4995,6,5.46,0.9036,1,3.31,0.9277,1,0.6451,0.9967,1,38.91,0.6046,4,1.6424,0.805,2,-0.026,0.2399,8
177,7,0.2921,0.8598,2,1.8811,0.862,2,1.3318,0.8488,2,0.1758,0.8313,2,6937663131.0,0.6145,4,4.33,0.1062,9,35.5135,0.0821,10,3.27,0.7163,3,2.41,0.8138,2,0.2465,0.7744,3,31.82,0.724,3,0.5774,0.5936,5,0.0598,0.6145,4
