,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
36,-0.0288,1314 ¤¤¥Û¤Æ,M1300 ¶ì½¦¤u·~,0.0964,0.5882,5,4.5714,0.9474,1,3.8983,0.954,1,0.5276,0.4118,6,39173198846.0,0.1928,9,0.45,0.9989,1,4.782,0.7207,3,0.3,0.2399,8,0.27,0.2673,8,0.0336,0.1238,9,45.78,0.4666,6,1.2418,0.7481,3,0.0379,0.517,5
37,0.0112,1315 ¹F·s,M1300 ¶ì½¦¤u·~,0.0236,0.3943,7,-0.0136,0.5137,5,-0.0106,0.5312,5,0.0518,0.9376,1,6821440025.0,0.6177,4,0.7,0.9671,1,14.9833,0.2705,8,0.39,0.2607,8,0.36,0.3012,8,0.2161,0.7043,3,8.75,0.9726,1,0.2612,0.4841,6,-0.0636,0.1325,9
38,0.0317,1316 ¤WÂ`,M2500 «Ø§÷Àç³y,0.3561,0.9014,2,-0.5529,0.1555,9,-0.5533,0.1512,9,0.468,0.4852,6,6687740270.0,0.621,4,1.85,0.4633,6,29.3707,0.1084,9,-0.04,0.1917,9,0.17,0.2223,8,0.0831,0.2957,8,47.88,0.4239,6,-0.6605,0.1292,9,0.1512,0.8456,2
39,0.0085,1319 ªF¶§,M2200 ¨T¨®¤u·~,0.2919,0.8587,2,-0.5292,0.172,9,-0.5721,0.1303,9,0.3651,0.6013,5,66084904740.0,0.1369,9,2.76,0.2388,8,10.7034,0.3834,7,4.5,0.8401,2,3.38,0.931,1,0.1396,0.4677,6,24.64,0.8204,2,1.3901,0.7755,3,0.0663,0.6386,4
40,-0.0556,1321 ¤j¬v,M1300 ¶ì½¦¤u·~,0.1018,0.6046,4,4.3067,0.9398,1,3.7773,0.9518,1,0.2429,0.7514,3,9007283098.0,0.5312,5,1.28,0.6889,4,8.0987,0.4962,6,1.88,0.5082,5,1.01,0.506,5,0.0638,0.2322,8,48.82,0.4031,7,-0.1103,0.2727,8,-0.0085,0.3001,8
41,0.0164,1323 ¥Ã¸Î,M1300 ¶ì½¦¤u·~,0.0,0.3089,7,-0.5036,0.1895,9,-0.5076,0.1698,9,-0.0123,0.9628,1,2752365921.0,0.8576,2,1.17,0.7514,3,3.5975,0.8105,2,1.55,0.4556,6,0.94,0.4863,6,0.2136,0.6955,4,46.71,0.4458,6,-0.1094,0.2738,8,-0.0224,0.2585,8
42,-0.0793,1324 ¦a²y,M1300 ¶ì½¦¤u·~,-0.1628,0.0471,10,-0.2744,0.3461,7,-0.2328,0.3801,7,0.0319,0.9463,1,1065363506.0,0.9836,1,1.14,0.7656,3,5.3494,0.6802,4,0.03,0.2048,8,0.02,0.1731,9,0.2324,0.7382,3,19.26,0.8981,2,-0.9635,0.092,10,0.0013,0.3516,7
43,0.121,1325 ùÚ¤j,M1300 ¶ì½¦¤u·~,-0.2107,0.0186,10,-0.6738,0.0789,10,-0.6228,0.092,10,0.6055,0.3187,7,2334871279.0,0.8959,2,0.9,0.8872,2,24.2264,0.1435,9,0.43,0.2694,8,0.41,0.3187,7,0.1676,0.5728,5,3.43,0.9934,1,10.5832,0.9682,1,-0.0037,0.3308,7
44,-0.086,1326 ¥x¤Æ,M1300 ¶ì½¦¤u·~,-0.0018,0.3056,7,0.2129,0.6145,4,0.2205,0.6396,4,0.39,0.5706,5,322051086420.0,0.034,10,0.99,0.8499,2,3.8366,0.7875,3,0.39,0.2618,8,0.37,0.3023,8,0.04,0.1435,9,35.42,0.6648,4,2.9939,0.8905,2,-0.0158,0.2749,8
45,-0.0845,1339 ¬L½÷,M2200 ¨T¨®¤u·~,0.1603,0.7251,3,0.7603,0.7656,3,0.6272,0.7568,3,0.4357,0.5203,5,5108558166.0,0.7087,3,1.31,0.6747,4,9.9921,0.4107,6,3.37,0.7426,3,2.53,0.8302,2,0.136,0.4524,6,27.34,0.7853,3,1.0766,0.7207,3,0.0086,0.3932,7
46,-0.0215,1342 ¤K³e,M9900 ¨ä¥L,0.0791,0.5433,5,-0.6473,0.0964,10,-0.6292,0.0876,10,0.1357,0.8806,2,7877241090.0,0.5717,5,4.86,0.0832,10,12.6994,0.3231,7,5.84,0.9189,1,3.76,0.954,1,0.1931,0.6473,4,40.75,0.5652,5,0.1976,0.4578,6,0.0593,0.6101,4
47,0.0289,1402 »·ªF·s,M1400 ¯¼Â´ÅÖºû,0.1189,0.6364,4,-0.0442,0.4951,6,-0.0628,0.5005,6,0.389,0.5728,5,177216569565.0,0.0624,10,0.77,0.9441,1,2.7094,0.8938,2,1.19,0.3998,7,0.68,0.3987,7,0.0403,0.1457,9,52.65,0.3417,7,0.0852,0.4053,6,0.0078,0.3877,7
